work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Security Engineer,136000,USD,136000,United States,100,United States,M
2023,SE,FT,Security Engineer,198000,USD,198000,United States,100,United States,M
2023,SE,FT,Security Engineer,149000,USD,149000,United States,100,United States,M
2023,MI,FT,Security Engineer,285000,USD,285000,Australia,0,Australia,M
2023,MI,FT,Security Engineer,230000,USD,230000,Australia,0,Australia,M
2023,SE,FT,Security Engineer,206000,USD,206000,United States,100,United States,M
2023,SE,FT,Security Engineer,175100,USD,175100,United States,100,United States,M
2023,SE,FT,Security Researcher,235400,USD,235400,United States,0,United States,M
2023,SE,FT,Security Researcher,145500,USD,145500,United States,0,United States,M
2023,SE,FT,Security Analyst,97000,USD,97000,United States,0,United States,M
2023,SE,FT,Security Analyst,65000,USD,65000,United States,0,United States,M
2023,SE,FT,Security Engineer,252500,USD,252500,Canada,100,Canada,M
2023,SE,FT,Security Engineer,252500,USD,252500,Canada,100,Canada,M
2023,SE,FT,Cyber Engineer,186000,USD,186000,United States,0,United States,M
2023,SE,FT,Cyber Engineer,81800,USD,81800,United States,0,United States,M
2023,MI,FT,DevSecOps Engineer,133000,USD,133000,United States,0,United States,M
2023,MI,FT,DevSecOps Engineer,58400,USD,58400,United States,0,United States,M
2023,SE,FT,Security Engineer,170000,USD,170000,United States,0,United States,M
2023,SE,FT,Security Engineer,105000,USD,105000,United States,0,United States,M
2023,SE,FT,Security Engineer,221950,USD,221950,United States,0,United States,M
2023,SE,FT,Security Engineer,136850,USD,136850,United States,0,United States,M
2023,EX,FT,Information Security Officer,300000,USD,300000,United States,0,United States,M
2023,EX,FT,Information Security Officer,250000,USD,250000,United States,0,United States,M
2023,SE,FT,Professional Services Consultant,180500,USD,180500,United States,0,United States,M
2023,SE,FT,Professional Services Consultant,131300,USD,131300,United States,0,United States,M
2023,SE,FT,Security Architect,180500,USD,180500,United States,0,United States,M
2023,SE,FT,Security Architect,131300,USD,131300,United States,0,United States,M
2023,SE,FT,Cyber Security Manager,3600000,INR,43779,India,100,India,L
2023,MI,FT,Compliance Analyst,112875,USD,112875,United States,0,United States,M
2023,MI,FT,Compliance Analyst,60795,USD,60795,United States,0,United States,M
2023,SE,FT,Compliance Analyst,167300,USD,167300,United States,100,United States,M
2023,SE,FT,Compliance Analyst,104700,USD,104700,United States,100,United States,M
2023,SE,FT,Security Researcher,100000,USD,100000,United States,100,United States,M
2023,SE,FT,Security Researcher,60000,USD,60000,United States,100,United States,M
2023,SE,FT,Compliance Specialist,150000,USD,150000,United States,100,United States,M
2023,SE,FT,Compliance Specialist,90000,USD,90000,United States,100,United States,M
2023,SE,FT,Security Researcher,150000,USD,150000,United States,100,United States,M
2023,SE,FT,Security Researcher,90000,USD,90000,United States,100,United States,M
2023,SE,FT,Security Researcher,247500,USD,247500,United States,0,United States,M
2023,SE,FT,Security Researcher,153000,USD,153000,United States,0,United States,M
2023,MI,FT,Security Researcher,120000,USD,120000,United States,100,United States,M
2023,MI,FT,Security Researcher,80000,USD,80000,United States,100,United States,M
2023,SE,FT,Security Engineer,239139,USD,239139,United States,0,United States,M
2023,SE,FT,Security Engineer,115910,USD,115910,United States,0,United States,M
2023,EX,FT,Security Engineer,340000,USD,340000,United States,0,United States,M
2023,EX,FT,Security Engineer,272000,USD,272000,United States,0,United States,M
2023,SE,FT,Security Engineer,150000,USD,150000,United States,100,United States,M
2023,SE,FT,Security Engineer,135000,USD,135000,United States,100,United States,M
2023,SE,FT,Security Engineer,290970,USD,290970,United States,0,United States,M
2023,SE,FT,Security Engineer,166230,USD,166230,United States,0,United States,M
2023,SE,FT,Security Engineer,247600,USD,247600,United States,0,United States,L
2023,SE,FT,Security Engineer,136000,USD,136000,United States,0,United States,L
2023,SE,FT,SOC Analyst,120000,USD,120000,United States,100,United States,M
2023,SE,FT,SOC Analyst,95000,USD,95000,United States,100,United States,M
2023,MI,FT,Privacy Manager,185000,USD,185000,United States,0,United States,L
2023,MI,FT,Privacy Manager,94700,USD,94700,United States,0,United States,L
2023,SE,FT,Security Engineer,165759,USD,165759,United States,0,United States,M
2023,SE,FT,Security Engineer,120552,USD,120552,United States,0,United States,M
2023,SE,FT,Security Architect,247000,USD,247000,United States,0,United States,M
2023,SE,FT,Security Architect,164700,USD,164700,United States,0,United States,M
2023,MI,FT,Security Engineer,149500,USD,149500,United States,0,United States,M
2023,MI,FT,Security Engineer,80500,USD,80500,United States,0,United States,M
2023,MI,FT,Security Engineer,180000,USD,180000,United States,100,United States,M
2023,MI,FT,Security Engineer,120000,USD,120000,United States,100,United States,M
2023,SE,FT,Security Analyst,175000,USD,175000,United States,0,United States,M
2023,SE,FT,Security Analyst,157000,USD,157000,United States,0,United States,M
2023,SE,FT,Security Engineer,236160,USD,236160,United States,100,United States,M
2023,SE,FT,Security Engineer,159408,USD,159408,United States,100,United States,M
2023,SE,FT,GRC Specialist,170000,USD,170000,United States,0,United States,M
2023,SE,FT,GRC Specialist,150000,USD,150000,United States,0,United States,M
2023,SE,FT,Security Engineer,149500,USD,149500,Canada,100,Canada,M
2023,SE,FT,Security Engineer,149500,USD,149500,Canada,100,Canada,M
2023,SE,FT,Security Analyst,134000,USD,134000,United States,0,United States,M
2023,SE,FT,Security Analyst,90000,USD,90000,United States,0,United States,M
2023,SE,FT,Security Engineer,200000,USD,200000,United States,100,United States,M
2023,SE,FT,Security Engineer,160000,USD,160000,United States,100,United States,M
2023,EN,FT,Security Engineer,190000,USD,190000,United States,0,United States,M
2023,EN,FT,Security Engineer,149000,USD,149000,United States,0,United States,M
2023,SE,FT,Security Engineer,270600,USD,270600,United States,100,United States,M
2023,SE,FT,Security Engineer,180400,USD,180400,United States,100,United States,M
2023,SE,FT,Security Software Engineer,266875,USD,266875,United States,0,United States,M
2023,SE,FT,Security Software Engineer,128250,USD,128250,United States,0,United States,M
2023,MI,FT,Information Security Specialist,140000,USD,140000,United States,100,United States,M
2023,MI,FT,Information Security Specialist,70000,USD,70000,United States,100,United States,M
2023,MI,FT,Information System Security Officer,134550,USD,134550,United States,0,United States,M
2023,MI,FT,Information System Security Officer,99450,USD,99450,United States,0,United States,M
2023,SE,FT,Information Systems Security Officer,176000,USD,176000,United States,0,United States,M
2023,SE,FT,Information Systems Security Officer,82000,USD,82000,United States,0,United States,M
2023,MI,FT,Security Lead,100000,GBP,123040,United Kingdom,0,United Kingdom,M
2023,MI,FT,Security Lead,60000,GBP,73824,United Kingdom,0,United Kingdom,M
2023,SE,FT,Security Engineer,304750,USD,304750,United States,0,United States,M
2023,SE,FT,Security Engineer,160000,USD,160000,United States,0,United States,M
2023,SE,FT,Security Engineer,155000,USD,155000,United States,0,United States,M
2023,SE,FT,Security Engineer,130000,USD,130000,United States,0,United States,M
2023,SE,FT,Security Engineer,212800,USD,212800,United States,0,United States,L
2023,SE,FT,Security Engineer,135500,USD,135500,United States,0,United States,L
2023,SE,FT,Security Engineer,212800,USD,212800,United States,0,United States,L
2023,SE,FT,Security Engineer,135500,USD,135500,United States,0,United States,L
2023,SE,FT,Malware Reverse Engineer,250000,USD,250000,United States,0,United States,M
2023,SE,FT,Malware Reverse Engineer,175000,USD,175000,United States,0,United States,M
2023,SE,FT,Security Analyst,130000,USD,130000,United States,0,United States,M
2023,SE,FT,Security Analyst,110000,USD,110000,United States,0,United States,M
2023,MI,FT,Security Engineer,201250,USD,201250,United States,0,United States,M
2023,MI,FT,Security Engineer,128000,USD,128000,United States,0,United States,M
2023,SE,FT,Vulnerability Management Engineer,195000,USD,195000,United States,0,United States,M
2023,SE,FT,Vulnerability Management Engineer,150000,USD,150000,United States,0,United States,M
2023,MI,FT,Security Lead,186500,USD,186500,United States,0,United States,M
2023,MI,FT,Security Lead,118500,USD,118500,United States,0,United States,M
2023,SE,FT,Security Specialist,154800,USD,154800,United States,0,United States,M
2023,SE,FT,Security Specialist,76300,USD,76300,United States,0,United States,M
2023,SE,FT,Security Architect,200000,USD,200000,United States,100,United States,M
2023,SE,FT,Security Architect,160000,USD,160000,United States,100,United States,M
2023,MI,FT,Security Specialist,60000,USD,60000,United States,100,United States,M
2023,MI,FT,Security Specialist,60000,USD,60000,United States,100,United States,M
2023,MI,FT,Security Engineer,60000,EUR,64781,Latvia,0,Latvia,M
2023,MI,FT,Security Engineer,50000,EUR,53984,Latvia,0,Latvia,M
2023,SE,FT,Security Engineer,155000,USD,155000,United States,100,United States,M
2023,SE,FT,Security Engineer,110000,USD,110000,United States,100,United States,M
2023,SE,FT,IAM Engineer,250000,USD,250000,United States,0,United States,M
2023,SE,FT,IAM Engineer,175000,USD,175000,United States,0,United States,M
2023,SE,FT,Security Engineer,247600,USD,247600,United States,0,United States,L
2023,SE,FT,Security Engineer,136000,USD,136000,United States,0,United States,L
2023,SE,FT,Professional Services Consultant,175000,USD,175000,United States,100,United States,M
2023,SE,FT,Professional Services Consultant,135000,USD,135000,United States,100,United States,M
2023,SE,FT,Security Engineer,212800,USD,212800,United States,0,United States,L
2023,SE,FT,Security Engineer,111600,USD,111600,United States,0,United States,L
2023,SE,FT,Security Engineer,175000,USD,175000,United States,0,United States,M
2023,SE,FT,Security Engineer,122500,USD,122500,United States,0,United States,M
2023,SE,FT,Security Architect,221250,USD,221250,United States,100,United States,M
2023,SE,FT,Security Architect,198750,USD,198750,United States,100,United States,M
2023,SE,FT,Security Engineer,198000,USD,198000,United States,100,United States,M
2023,SE,FT,Security Engineer,137000,USD,137000,United States,100,United States,M
2023,SE,FT,Security Engineer,212800,USD,212800,United States,0,United States,L
2023,SE,FT,Security Engineer,135500,USD,135500,United States,0,United States,L
2023,SE,FT,Security Engineer,247600,USD,247600,United States,0,United States,L
2023,SE,FT,Security Engineer,136000,USD,136000,United States,0,United States,L
2023,SE,FT,Professional Services Consultant,175000,USD,175000,United States,100,United States,M
2023,SE,FT,Professional Services Consultant,135000,USD,135000,United States,100,United States,M
2023,SE,FT,Professional Services Consultant,165000,USD,165000,United States,100,United States,M
2023,SE,FT,Professional Services Consultant,140000,USD,140000,United States,100,United States,M
2023,EX,FT,Security Engineer,256000,USD,256000,United States,0,United States,M
2023,EX,FT,Security Engineer,154000,USD,154000,United States,0,United States,M
2023,SE,FT,Security Engineer,150000,USD,150000,United States,0,United States,M
2023,SE,FT,Security Engineer,130000,USD,130000,United States,0,United States,M
2023,EX,FT,Information Security Officer,164220,USD,164220,United States,0,United States,M
2023,EX,FT,Information Security Officer,116000,USD,116000,United States,0,United States,M
2023,SE,FT,Security Software Engineer,238945,USD,238945,United States,100,United States,M
2023,SE,FT,Security Software Engineer,159297,USD,159297,United States,100,United States,M
2023,SE,FT,Security Engineer,170000,USD,170000,United States,100,United States,M
2023,SE,FT,Security Engineer,150000,USD,150000,United States,100,United States,M
2023,MI,FT,Security Engineer,225000,USD,225000,United States,0,United States,M
2023,MI,FT,Security Engineer,66000,USD,66000,United States,0,United States,M
2023,EX,FT,Information Security Officer,300000,USD,300000,United States,0,United States,M
2023,EX,FT,Information Security Officer,250000,USD,250000,United States,0,United States,M
2023,SE,FT,Security Engineer,273780,USD,273780,United States,0,United States,M
2023,SE,FT,Security Engineer,156420,USD,156420,United States,0,United States,M
2023,SE,FT,Security Engineer,315000,USD,315000,Canada,100,Canada,M
2023,SE,FT,Security Engineer,105000,USD,105000,Canada,100,Canada,M
2023,SE,FT,Security Architect,230350,USD,230350,United States,0,United States,M
2023,SE,FT,Security Architect,153550,USD,153550,United States,0,United States,M
2023,SE,FT,Security Architect,175000,USD,175000,United States,0,United States,M
2023,SE,FT,Security Architect,90000,USD,90000,United States,0,United States,M
2023,EX,FT,Information Security Officer,275000,USD,275000,United States,100,United States,M
2023,EX,FT,Information Security Officer,200000,USD,200000,United States,100,United States,M
2023,SE,FT,Security Architect,255000,USD,255000,United States,0,United States,L
2023,SE,FT,Security Engineer,217000,USD,217000,United States,0,United States,L
2023,SE,FT,Information Systems Security Officer,206000,USD,206000,United States,0,United States,L
